path,file,a,b,conf_pair,phi,s,d1_now_raw,d1_now_soft,d1_disc
D:/projectCPE/dataset/images/test\output_0000122.png,output_0000122.png,6,7,1.000000,0.841787,0.841787,6.841787,6.841787,7
D:/projectCPE/dataset/images/test\output_0000251.png,output_0000251.png,7,8,1.000000,0.880975,0.880975,7.880975,7.880975,8
