frame_idx,filename,phase
0,001.png,0.3486921489238739
1,002.png,0.34846073389053345
2,003.png,0.3526616096496582
3,004.png,0.35891103744506836
4,005.png,0.36599764227867126
5,006.png,0.3733643591403961
6,007.png,0.38071054220199585
7,008.png,0.3879065215587616
8,009.png,0.39489954710006714
9,010.png,0.40167126059532166
10,011.png,0.4081973135471344
11,012.png,0.4144967198371887
12,013.png,0.42055895924568176
13,014.png,0.4263904094696045
14,015.png,0.43199044466018677
15,016.png,0.4373590052127838
16,017.png,0.4424879550933838
17,018.png,0.44736960530281067
18,019.png,0.4519960880279541
19,020.png,0.45637357234954834
20,021.png,0.4605170488357544
21,022.png,0.4644307792186737
22,023.png,0.4681103229522705
23,024.png,0.47155410051345825
24,025.png,0.4747704565525055
25,026.png,0.4777602553367615
26,027.png,0.4805552065372467
27,028.png,0.48314082622528076
28,029.png,0.48553216457366943
29,030.png,0.48774129152297974
30,031.png,0.48978114128112793
31,032.png,0.49166497588157654
32,033.png,0.4934067726135254
33,034.png,0.4949833154678345
34,035.png,0.49641692638397217
35,036.png,0.49774032831192017
36,037.png,0.4989479184150696
37,038.png,0.5000573992729187
38,039.png,0.5010677576065063
39,040.png,0.5019844770431519
40,041.png,0.5028280019760132
41,042.png,0.5035871267318726
42,043.png,0.5042834877967834
43,044.png,0.5049117207527161
44,045.png,0.5054863095283508
45,046.png,0.5059972405433655
46,047.png,0.5064677000045776
47,048.png,0.5069014430046082
48,049.png,0.5072894096374512
49,050.png,0.5076226592063904
50,051.png,0.5079361200332642
51,052.png,0.5082196593284607
52,053.png,0.5084747076034546
53,054.png,0.5087032318115234
54,055.png,0.5088992714881897
55,056.png,0.5090668797492981
56,057.png,0.5092445015907288
57,058.png,0.5093980431556702
58,059.png,0.5095539093017578
59,060.png,0.5097060203552246
60,061.png,0.5098406672477722
61,062.png,0.5099645256996155
62,063.png,0.5100738406181335
63,064.png,0.5101727247238159
64,065.png,0.5102713704109192
65,066.png,0.510349452495575
66,067.png,0.5104125738143921
67,068.png,0.5104727745056152
68,069.png,0.5105289816856384
69,070.png,0.5105653405189514
70,071.png,0.5105762481689453
71,072.png,0.5105907320976257
72,073.png,0.5106069445610046
73,074.png,0.510624885559082
74,075.png,0.5106436014175415
75,076.png,0.5106797814369202
76,077.png,0.5106884241104126
77,078.png,0.5107071995735168
78,079.png,0.5107234120368958
79,080.png,0.5107393860816956
80,081.png,0.5107452869415283
81,082.png,0.5107753276824951
82,083.png,0.5107966065406799
83,084.png,0.5108420252799988
84,085.png,0.5108786225318909
85,086.png,0.5109196305274963
86,087.png,0.510938823223114
87,088.png,0.5109434127807617
88,089.png,0.5109638571739197
89,090.png,0.5109785795211792
90,091.png,0.510991632938385
91,092.png,0.5110110640525818
92,093.png,0.5110320448875427
93,094.png,0.5110620856285095
94,095.png,0.5110832452774048
95,096.png,0.5110988616943359
96,097.png,0.5111159086227417
97,098.png,0.5111331939697266
98,099.png,0.5111383199691772
99,100.png,0.5111510753631592
100,101.png,0.5111575722694397
101,102.png,0.5111648440361023
102,103.png,0.5111819505691528
103,104.png,0.5111798644065857
104,105.png,0.5111823081970215
105,106.png,0.5111629962921143
106,107.png,0.5111446380615234
107,108.png,0.5111488699913025
108,109.png,0.5111500024795532
109,110.png,0.511159360408783
110,111.png,0.511162281036377
111,112.png,0.5111472010612488
112,113.png,0.5111386179924011
113,114.png,0.5111622214317322
114,115.png,0.5111714005470276
115,116.png,0.5111984014511108
116,117.png,0.5112496018409729
117,118.png,0.5112857222557068
118,119.png,0.5113135576248169
119,120.png,0.5113323926925659
120,121.png,0.5113531947135925
121,122.png,0.5113780498504639
122,123.png,0.5114089250564575
123,124.png,0.5114391446113586
124,125.png,0.5114669799804688
125,126.png,0.5114830732345581
126,127.png,0.5115240216255188
127,128.png,0.5115436315536499
128,129.png,0.5115615725517273
129,130.png,0.5115718841552734
130,131.png,0.5115723013877869
131,132.png,0.5115713477134705
132,133.png,0.5115475654602051
133,134.png,0.5115388631820679
134,135.png,0.5115243792533875
135,136.png,0.5115141272544861
136,137.png,0.5114980936050415
137,138.png,0.5114846229553223
138,139.png,0.5114850401878357
139,140.png,0.5114874243736267
140,141.png,0.51146000623703
141,142.png,0.5114299058914185
142,143.png,0.5114098191261292
143,144.png,0.511406660079956
144,145.png,0.5114020109176636
145,146.png,0.5113950967788696
146,147.png,0.5113933086395264
147,148.png,0.5113781690597534
148,149.png,0.5113774538040161
149,150.png,0.5113806128501892
150,151.png,0.5113673210144043
151,152.png,0.5113482475280762
152,153.png,0.5113540887832642
153,154.png,0.5113416314125061
154,155.png,0.5113328099250793
155,156.png,0.5113250613212585
156,157.png,0.5113170742988586
157,158.png,0.5113139748573303
158,159.png,0.5113069415092468
159,160.png,0.5112981796264648
160,161.png,0.5112823843955994
161,162.png,0.511267364025116
162,163.png,0.5112614631652832
163,164.png,0.5112665295600891
164,165.png,0.5112618803977966
165,166.png,0.5112447142601013
166,167.png,0.5112271308898926
167,168.png,0.5112125277519226
168,169.png,0.5112037062644958
169,170.png,0.5112128853797913
170,171.png,0.5112277269363403
171,172.png,0.5112283229827881
172,173.png,0.5112226605415344
173,174.png,0.511236310005188
174,175.png,0.5112311840057373
175,176.png,0.5112208127975464
176,177.png,0.5112319588661194
177,178.png,0.511258065700531
178,179.png,0.5112614631652832
179,180.png,0.5112715363502502
180,181.png,0.5113112330436707
181,182.png,0.5113340616226196
182,183.png,0.5113643407821655
183,184.png,0.5113930702209473
184,185.png,0.5114102959632874
185,186.png,0.5114257335662842
186,187.png,0.5114309191703796
187,188.png,0.5114414095878601
188,189.png,0.5114441514015198
189,190.png,0.5114462375640869
190,191.png,0.5114626884460449
191,192.png,0.5114697813987732
192,193.png,0.5114777088165283
193,194.png,0.5115145444869995
194,195.png,0.5115405917167664
195,196.png,0.511546790599823
196,197.png,0.5115374326705933
