epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5252,2.11412,4.22405,1.76201,0.00035,0.025,0.00021,8e-05,1.46471,4.19061,1.52279,0,0,0
2,17.9058,2.06773,4.11908,1.71677,0.00034,0.025,0.00021,0.0001,1.40504,4.18888,1.48736,1.24753e-05,1.24753e-05,1.24753e-05
3,24.0644,1.75278,3.96739,1.57014,0.00035,0.025,0.00025,5e-05,1.33498,4.16784,1.44992,2.4901e-05,2.4901e-05,2.4901e-05
4,29.9442,1.85436,4.18184,1.69698,0.00036,0.025,0.00199,0.0008,1.26216,4.11346,1.36973,3.72772e-05,3.72772e-05,3.72772e-05
5,35.8125,1.90049,4.12143,1.64863,0.00035,0.025,0.00199,0.00139,1.13254,4.06188,1.26955,4.9604e-05,4.9604e-05,4.9604e-05
6,41.7169,1.52274,3.96498,1.43734,0.0007,0.05,0.00249,0.00196,1.08961,3.96995,1.17333,6.18813e-05,6.18813e-05,6.18813e-05
7,47.2565,1.38967,3.74592,1.30192,0.00105,0.075,0.00954,0.00748,0.97277,3.91946,1.08179,7.4109e-05,7.4109e-05,7.4109e-05
8,52.8306,1.26293,3.76931,1.27595,0.00244,0.175,0.03692,0.0289,0.89511,3.87728,1.03313,8.62873e-05,8.62873e-05,8.62873e-05
9,58.4843,1.20265,3.57232,1.20506,0.00392,0.275,0.11921,0.07475,0.86138,3.82092,0.97588,9.8416e-05,9.8416e-05,9.8416e-05
10,64.1201,1.11744,3.60282,1.11754,0.00509,0.35,0.21541,0.1458,0.82497,3.77113,0.93796,0.000110495,0.000110495,0.000110495
11,69.7856,1.13717,3.47559,1.08024,0.00595,0.4,0.2047,0.15542,0.80924,3.71325,0.90279,0.000122525,0.000122525,0.000122525
12,75.3861,1.13983,3.34626,1.09255,0.0067,0.45,0.22153,0.16899,0.78872,3.67338,0.88758,0.000134505,0.000134505,0.000134505
13,80.8493,1.07161,3.05324,1.04306,0.00723,0.475,0.2242,0.16529,0.80359,3.62915,0.87706,0.000146436,0.000146436,0.000146436
14,86.3566,1.04663,2.97394,1.03458,0.00846,0.525,0.26043,0.18822,0.8134,3.57669,0.87616,0.000158317,0.000158317,0.000158317
15,91.7678,0.97797,2.7475,0.97477,0.00913,0.55,0.3044,0.21512,0.80172,3.52572,0.86784,0.000170149,0.000170149,0.000170149
16,97.1996,0.96263,2.46205,0.96594,0.00928,0.55,0.31973,0.22014,0.799,3.45802,0.86676,0.000181931,0.000181931,0.000181931
17,102.877,0.87672,2.17763,0.9524,0.0094,0.55,0.32509,0.23325,0.80105,3.39793,0.87104,0.000193664,0.000193664,0.000193664
18,108.319,0.93692,2.08731,0.98858,0.0094,0.55,0.32509,0.23325,0.80105,3.39793,0.87104,0.000205347,0.000205347,0.000205347
19,113.852,0.90633,2.00622,0.90145,0.00916,0.55,0.31831,0.23882,0.77478,3.33937,0.87208,0.000216981,0.000216981,0.000216981
20,119.378,0.93596,1.95676,0.9854,0.00916,0.55,0.31831,0.23882,0.77478,3.33937,0.87208,0.000228565,0.000228565,0.000228565
21,124.925,0.86768,1.87932,0.93971,0.01263,0.8,0.35187,0.26837,0.75578,3.27016,0.86939,0.0002401,0.0002401,0.0002401
