epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,731.902,0.92964,1.05836,1.05202,0.86391,0.69895,0.88861,0.66627,0.93973,1.98394,0.99038,0.000826939,0.000826939,0.000826939
43,747.474,0.93466,1.22316,1.04041,0.86391,0.69895,0.88861,0.66627,0.93973,1.98394,0.99038,0.000841606,0.000841606,0.000841606
44,765.232,0.92923,0.99204,0.98718,0.88233,0.65886,0.87698,0.59101,1.10764,2.00022,1.072,0.000856026,0.000856026,0.000856026
45,781.73,0.86663,1.00214,1.00944,0.88233,0.65886,0.87698,0.59101,1.10764,2.00022,1.072,0.000870198,0.000870198,0.000870198
46,797.763,0.91847,0.97982,1.00245,0.86096,0.65628,0.86645,0.61846,1.00619,1.93137,1.0154,0.000884122,0.000884122,0.000884122
47,815.26,0.90339,0.98134,0.99929,0.86096,0.65628,0.86645,0.61846,1.00619,1.93137,1.0154,0.000897799,0.000897799,0.000897799
48,831.55,1.01142,1.16044,1.00457,0.86801,0.74868,0.87206,0.66954,0.86525,1.81518,0.95596,0.000911228,0.000911228,0.000911228
49,847.893,0.96165,1.03387,0.99785,0.86801,0.74868,0.87206,0.66954,0.86525,1.81518,0.95596,0.00092441,0.00092441,0.00092441
50,863.785,0.88171,0.98495,1.02686,0.87589,0.84286,0.90711,0.69074,0.85331,1.67066,0.95145,0.000937344,0.000937344,0.000937344
51,880.624,0.9455,1.04168,1.04284,0.87589,0.84286,0.90711,0.69074,0.85331,1.67066,0.95145,0.000940625,0.000940625,0.000940625
52,898.038,0.92224,0.98205,1.00427,0.90333,0.87275,0.92785,0.69008,0.97225,1.61014,0.99582,0.000934438,0.000934438,0.000934438
53,915.808,1.01317,0.97473,1.02231,0.90333,0.87275,0.92785,0.69008,0.97225,1.61014,0.99582,0.00092825,0.00092825,0.00092825
54,931.888,0.97884,0.92252,0.9995,0.84161,0.90858,0.89516,0.66317,0.96638,1.59331,1.02815,0.000922063,0.000922063,0.000922063
55,947.747,0.93196,0.88737,1.02608,0.84161,0.90858,0.89516,0.66317,0.96638,1.59331,1.02815,0.000915875,0.000915875,0.000915875
56,963.709,0.97837,0.90945,1.0411,0.84705,0.90568,0.92127,0.73373,0.78088,1.47683,0.95984,0.000909688,0.000909688,0.000909688
57,979.509,0.92667,1.01206,1.02397,0.84705,0.90568,0.92127,0.73373,0.78088,1.47683,0.95984,0.0009035,0.0009035,0.0009035
58,998.063,0.87681,0.94314,1.00182,0.88084,0.90741,0.93082,0.7347,0.82693,1.50074,0.97054,0.000897313,0.000897313,0.000897313
59,1014.52,0.80761,0.83705,0.97035,0.88084,0.90741,0.93082,0.7347,0.82693,1.50074,0.97054,0.000891125,0.000891125,0.000891125
60,1030.89,0.88527,0.90669,1.01109,0.8921,0.90441,0.93796,0.74849,0.82778,1.50685,0.96442,0.000884938,0.000884938,0.000884938
61,1046.93,0.87669,0.96306,1.05071,0.8921,0.90441,0.93796,0.74849,0.82778,1.50685,0.96442,0.00087875,0.00087875,0.00087875
62,1062.91,0.89759,1.00419,1.05215,0.94834,0.86061,0.94801,0.77766,0.76549,1.54215,0.9488,0.000872563,0.000872563,0.000872563
63,1078.61,0.85801,0.92866,1.00817,0.94834,0.86061,0.94801,0.77766,0.76549,1.54215,0.9488,0.000866375,0.000866375,0.000866375
64,1094.4,0.84157,0.87435,0.96641,0.92998,0.83302,0.94692,0.77195,0.76504,1.56623,0.94288,0.000860188,0.000860188,0.000860188
65,1110.26,0.84174,0.81519,0.96487,0.92998,0.83302,0.94692,0.77195,0.76504,1.56623,0.94288,0.000854,0.000854,0.000854
66,1125.9,0.82407,0.81299,0.96182,0.9442,0.84389,0.95161,0.77776,0.77127,1.51424,0.93461,0.000847813,0.000847813,0.000847813
67,1142.21,0.80957,0.84648,1.00078,0.9442,0.84389,0.95161,0.77776,0.77127,1.51424,0.93461,0.000841625,0.000841625,0.000841625
68,1157.6,0.88234,0.94144,1.01645,0.92046,0.86003,0.95102,0.75411,0.82048,1.43287,0.94451,0.000835438,0.000835438,0.000835438
69,1172.88,0.84883,0.81804,0.95128,0.92046,0.86003,0.95102,0.75411,0.82048,1.43287,0.94451,0.00082925,0.00082925,0.00082925
70,1187.99,0.93621,0.90197,1.01067,0.92854,0.86281,0.93523,0.74431,0.80117,1.38521,0.94245,0.000823063,0.000823063,0.000823063
71,1203.75,0.87471,0.88009,1.00471,0.92854,0.86281,0.93523,0.74431,0.80117,1.38521,0.94245,0.000816875,0.000816875,0.000816875
72,1219.45,0.80234,0.90119,0.9899,0.90352,0.9034,0.93691,0.78046,0.71137,1.33503,0.91395,0.000810688,0.000810688,0.000810688
73,1235.16,0.75046,0.79163,0.92436,0.90352,0.9034,0.93691,0.78046,0.71137,1.33503,0.91395,0.0008045,0.0008045,0.0008045
74,1250.52,0.7725,0.8056,0.95812,0.91398,0.92289,0.95109,0.7894,0.7282,1.3092,0.91285,0.000798313,0.000798313,0.000798313
75,1265.89,0.73945,0.77183,0.94043,0.91398,0.92289,0.95109,0.7894,0.7282,1.3092,0.91285,0.000792125,0.000792125,0.000792125
76,1282.15,0.76197,0.8336,0.96167,0.97227,0.89428,0.95931,0.80708,0.69329,1.15347,0.89884,0.000785938,0.000785938,0.000785938
77,1298.1,0.76372,0.84274,0.99633,0.97227,0.89428,0.95931,0.80708,0.69329,1.15347,0.89884,0.00077975,0.00077975,0.00077975
78,1313.35,0.81145,0.89069,1.01509,0.95692,0.93403,0.95671,0.79333,0.70174,1.11979,0.8948,0.000773563,0.000773563,0.000773563
79,1329.04,0.88648,0.79114,0.96298,0.95692,0.93403,0.95671,0.79333,0.70174,1.11979,0.8948,0.000767375,0.000767375,0.000767375
80,1344.96,0.85002,0.77055,0.95949,0.95736,0.93713,0.95767,0.79929,0.6897,1.10253,0.88911,0.000761188,0.000761188,0.000761188
81,1362.29,0.78762,0.85038,0.98839,0.95736,0.93713,0.95767,0.79929,0.6897,1.10253,0.88911,0.000755,0.000755,0.000755
82,1379.57,0.83203,0.80658,0.95324,0.96379,0.93699,0.96509,0.81806,0.68632,1.06132,0.89304,0.000748813,0.000748813,0.000748813
83,1396.6,0.7891,0.77552,0.9476,0.96379,0.93699,0.96509,0.81806,0.68632,1.06132,0.89304,0.000742625,0.000742625,0.000742625
84,1412.66,0.71486,0.75565,0.92202,0.95196,0.9537,0.97036,0.79801,0.72821,0.97244,0.91284,0.000736438,0.000736438,0.000736438
85,1434.71,0.80673,0.80135,0.9616,0.95196,0.9537,0.97036,0.79801,0.72821,0.97244,0.91284,0.00073025,0.00073025,0.00073025
86,1453.7,0.81624,0.84382,0.98744,0.95618,0.9537,0.97152,0.80348,0.73495,0.91359,0.91304,0.000724062,0.000724062,0.000724062
87,1469.08,0.77336,0.74751,0.92894,0.95618,0.9537,0.97152,0.80348,0.73495,0.91359,0.91304,0.000717875,0.000717875,0.000717875
88,1484.55,0.75852,0.71975,0.92012,0.95453,0.96245,0.97211,0.82091,0.69554,0.84828,0.90061,0.000711687,0.000711687,0.000711687
89,1500.84,0.71161,0.71236,0.92233,0.95453,0.96245,0.97211,0.82091,0.69554,0.84828,0.90061,0.0007055,0.0007055,0.0007055
90,1516.91,0.80144,0.73524,0.91058,0.95738,0.95925,0.97387,0.83945,0.61776,0.80563,0.88147,0.000699312,0.000699312,0.000699312
91,1533,0.83329,0.80428,0.96084,0.95738,0.95925,0.97387,0.83945,0.61776,0.80563,0.88147,0.000693125,0.000693125,0.000693125
92,1549.25,0.69321,0.78493,0.96338,0.93494,0.9672,0.97691,0.84365,0.60817,0.78519,0.87874,0.000686937,0.000686937,0.000686937
93,1566.45,0.68044,0.69133,0.90803,0.93494,0.9672,0.97691,0.84365,0.60817,0.78519,0.87874,0.00068075,0.00068075,0.00068075
94,1582.54,0.76847,0.72136,0.94132,0.95132,0.95773,0.97811,0.8363,0.64152,0.79422,0.88637,0.000674562,0.000674562,0.000674562
95,1599.6,0.70346,0.68888,0.92732,0.95132,0.95773,0.97811,0.8363,0.64152,0.79422,0.88637,0.000668375,0.000668375,0.000668375
96,1618.65,0.67013,0.67829,0.89753,0.96414,0.97222,0.97681,0.82543,0.6869,0.76129,0.89883,0.000662188,0.000662188,0.000662188
97,1635.41,0.69176,0.76453,0.9521,0.96414,0.97222,0.97681,0.82543,0.6869,0.76129,0.89883,0.000656,0.000656,0.000656
98,1651.98,0.70946,0.71576,0.94244,0.98899,0.96827,0.98566,0.83459,0.65024,0.74787,0.88244,0.000649813,0.000649813,0.000649813
99,1668.4,0.66634,0.68452,0.93078,0.98899,0.96827,0.98566,0.83459,0.65024,0.74787,0.88244,0.000643625,0.000643625,0.000643625
100,1687.22,0.78935,0.76841,0.9961,0.99251,0.97295,0.99028,0.84869,0.61708,0.72134,0.87404,0.000637437,0.000637437,0.000637437
101,1705.26,0.70787,0.72573,0.9311,0.99251,0.97295,0.99028,0.84869,0.61708,0.72134,0.87404,0.00063125,0.00063125,0.00063125
102,1723.37,0.66722,0.6752,0.91523,0.99181,0.97397,0.99147,0.86304,0.58019,0.688,0.86474,0.000625062,0.000625062,0.000625062
103,1743.27,0.66615,0.66338,0.90307,0.99181,0.97397,0.99147,0.86304,0.58019,0.688,0.86474,0.000618875,0.000618875,0.000618875
104,1771.26,0.69332,0.66106,0.91879,0.9902,0.97368,0.99108,0.86576,0.56111,0.6928,0.85948,0.000612687,0.000612687,0.000612687
105,1790.21,0.69204,0.69451,0.93723,0.9902,0.97368,0.99108,0.86576,0.56111,0.6928,0.85948,0.0006065,0.0006065,0.0006065
106,1808.9,0.64409,0.65196,0.91305,0.99372,0.97281,0.99115,0.84688,0.6029,0.68895,0.86828,0.000600313,0.000600313,0.000600313
107,1829.31,0.73437,0.65191,0.92493,0.99372,0.97281,0.99115,0.84688,0.6029,0.68895,0.86828,0.000594125,0.000594125,0.000594125
108,1847.48,0.70718,0.66487,0.92884,0.99597,0.97208,0.98802,0.85243,0.60277,0.68137,0.86327,0.000587938,0.000587938,0.000587938
109,1863.12,0.64561,0.66506,0.91252,0.99597,0.97208,0.98802,0.85243,0.60277,0.68137,0.86327,0.00058175,0.00058175,0.00058175
110,1878.93,0.67155,0.64473,0.90037,0.99451,0.96803,0.98775,0.84617,0.596,0.67334,0.86433,0.000575563,0.000575563,0.000575563
111,1894.34,0.70649,0.68278,0.92897,0.99451,0.96803,0.98775,0.84617,0.596,0.67334,0.86433,0.000569375,0.000569375,0.000569375
112,1909.7,0.68449,0.66757,0.93361,0.9932,0.96947,0.98778,0.83491,0.62044,0.69095,0.88135,0.000563187,0.000563187,0.000563187
113,1925.7,0.7048,0.68315,0.94456,0.9932,0.96947,0.98778,0.83491,0.62044,0.69095,0.88135,0.000557,0.000557,0.000557
114,1941.81,0.7016,0.6843,0.94581,0.983,0.97222,0.98974,0.86149,0.5722,0.68263,0.86141,0.000550813,0.000550813,0.000550813
115,1958.22,0.64143,0.67254,0.89547,0.983,0.97222,0.98974,0.86149,0.5722,0.68263,0.86141,0.000544625,0.000544625,0.000544625
116,1974.18,0.66289,0.66856,0.91526,0.99027,0.95486,0.99164,0.86775,0.54682,0.68124,0.85166,0.000538438,0.000538438,0.000538438
117,1989.84,0.62871,0.68309,0.89808,0.99027,0.95486,0.99164,0.86775,0.54682,0.68124,0.85166,0.00053225,0.00053225,0.00053225
118,2007.53,0.64255,0.64408,0.94173,0.98763,0.96389,0.99281,0.87198,0.54694,0.66313,0.8479,0.000526063,0.000526063,0.000526063
119,2025.64,0.69972,0.6567,0.91431,0.98763,0.96389,0.99281,0.87198,0.54694,0.66313,0.8479,0.000519875,0.000519875,0.000519875
120,2043.45,0.63903,0.61005,0.91205,0.99501,0.96926,0.9935,0.89047,0.5201,0.62902,0.84292,0.000513688,0.000513688,0.000513688
121,2062.41,0.66348,0.71929,0.92822,0.99501,0.96926,0.9935,0.89047,0.5201,0.62902,0.84292,0.0005075,0.0005075,0.0005075
122,2079.63,0.69175,0.6565,0.90698,0.99609,0.96738,0.9935,0.87622,0.53356,0.62674,0.84817,0.000501313,0.000501313,0.000501313
123,2096.48,0.62629,0.63572,0.91633,0.99609,0.96738,0.9935,0.87622,0.53356,0.62674,0.84817,0.000495125,0.000495125,0.000495125
124,2112.85,0.63063,0.63635,0.9016,0.99644,0.96496,0.99329,0.87171,0.54433,0.62891,0.85467,0.000488938,0.000488938,0.000488938
125,2128.71,0.66838,0.60266,0.90372,0.99644,0.96496,0.99329,0.87171,0.54433,0.62891,0.85467,0.00048275,0.00048275,0.00048275
126,2144.6,0.6698,0.62998,0.89755,0.99598,0.96392,0.9925,0.87417,0.5282,0.62462,0.85272,0.000476562,0.000476562,0.000476562
127,2161.53,0.64829,0.64061,0.93916,0.99598,0.96392,0.9925,0.87417,0.5282,0.62462,0.85272,0.000470375,0.000470375,0.000470375
128,2178.34,0.70082,0.65349,0.98422,0.99472,0.96385,0.99267,0.88549,0.5012,0.61136,0.84121,0.000464188,0.000464188,0.000464188
129,2195.93,0.65292,0.60039,0.90497,0.99472,0.96385,0.99267,0.88549,0.5012,0.61136,0.84121,0.000458,0.000458,0.000458
130,2213.57,0.64054,0.60798,0.90593,0.98706,0.96979,0.99371,0.89233,0.48276,0.61614,0.83529,0.000451813,0.000451813,0.000451813
131,2229.97,0.56339,0.60274,0.90399,0.98706,0.96979,0.99371,0.89233,0.48276,0.61614,0.83529,0.000445625,0.000445625,0.000445625
132,2247.37,0.61094,0.66062,0.90713,0.99582,0.97756,0.99446,0.90098,0.48851,0.61651,0.83301,0.000439437,0.000439437,0.000439437
133,2264.27,0.62813,0.65211,0.91021,0.99582,0.97756,0.99446,0.90098,0.48851,0.61651,0.83301,0.00043325,0.00043325,0.00043325
134,2283.53,0.60224,0.62559,0.91173,0.99655,0.98604,0.995,0.89884,0.48396,0.612,0.82894,0.000427062,0.000427062,0.000427062
135,2299.6,0.60105,0.59648,0.89474,0.99655,0.98604,0.995,0.89884,0.48396,0.612,0.82894,0.000420875,0.000420875,0.000420875
136,2315.5,0.55914,0.61039,0.88716,0.98843,0.99159,0.995,0.89334,0.48309,0.60058,0.82705,0.000414688,0.000414688,0.000414688
137,2331.54,0.58721,0.58871,0.88079,0.98843,0.99159,0.995,0.89334,0.48309,0.60058,0.82705,0.0004085,0.0004085,0.0004085
138,2347.39,0.619,0.6079,0.89048,0.99494,0.98817,0.995,0.88603,0.5166,0.60126,0.83137,0.000402312,0.000402312,0.000402312
139,2362.82,0.55828,0.58173,0.89399,0.99494,0.98817,0.995,0.88603,0.5166,0.60126,0.83137,0.000396125,0.000396125,0.000396125
