epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1856.78,0.64809,0.46438,0.82163,0.99959,1,0.995,0.87607,0.53336,0.43483,0.80672,0.0011486,0.0011486,0.0011486
45,1897.12,0.66724,0.46872,0.84015,0.99961,1,0.995,0.87101,0.54938,0.4205,0.80732,0.0011288,0.0011288,0.0011288
46,1938.07,0.62592,0.44235,0.83152,0.9996,1,0.995,0.86362,0.55158,0.43094,0.80482,0.001109,0.001109,0.001109
47,1978.4,0.64508,0.44209,0.83984,0.99959,1,0.995,0.86652,0.56188,0.43539,0.80499,0.0010892,0.0010892,0.0010892
48,2018.73,0.60909,0.44364,0.82671,0.99961,1,0.995,0.86242,0.56412,0.40522,0.80705,0.0010694,0.0010694,0.0010694
49,2060.14,0.62266,0.43149,0.82879,0.99963,1,0.995,0.86965,0.5475,0.40141,0.80438,0.0010496,0.0010496,0.0010496
50,2101.17,0.58958,0.44157,0.82733,0.99963,1,0.995,0.87322,0.5398,0.41102,0.80172,0.0010298,0.0010298,0.0010298
51,2142.88,0.60848,0.42939,0.83655,0.99962,1,0.995,0.872,0.54078,0.40491,0.80196,0.00101,0.00101,0.00101
52,2186.38,0.60192,0.41641,0.83042,0.9996,1,0.995,0.85903,0.58986,0.41235,0.81,0.0009902,0.0009902,0.0009902
53,2226.89,0.61066,0.43615,0.8405,0.99962,1,0.995,0.86683,0.56765,0.41055,0.80606,0.0009704,0.0009704,0.0009704
54,2266.83,0.58032,0.41968,0.8262,0.99964,1,0.995,0.87738,0.54492,0.39095,0.80396,0.0009506,0.0009506,0.0009506
55,2309.05,0.60079,0.41197,0.82948,0.99965,1,0.995,0.87677,0.53475,0.39414,0.80527,0.0009308,0.0009308,0.0009308
56,2348.65,0.57768,0.39679,0.82937,0.99964,1,0.995,0.87559,0.55242,0.40752,0.80738,0.000911,0.000911,0.000911
57,2390.06,0.61835,0.43163,0.8301,0.99964,1,0.995,0.87966,0.54142,0.40394,0.80459,0.0008912,0.0008912,0.0008912
58,2429.91,0.60243,0.41696,0.83739,0.9996,1,0.995,0.87119,0.56755,0.39414,0.80972,0.0008714,0.0008714,0.0008714
59,2469.65,0.61976,0.42291,0.83599,0.99964,1,0.995,0.86667,0.56834,0.3938,0.81146,0.0008516,0.0008516,0.0008516
60,2508.97,0.57745,0.39849,0.821,0.99963,1,0.995,0.86698,0.53739,0.37192,0.80444,0.0008318,0.0008318,0.0008318
61,2548.05,0.60591,0.40108,0.82836,0.99962,1,0.995,0.87216,0.53493,0.37561,0.8045,0.000812,0.000812,0.000812
62,2587.11,0.57145,0.38434,0.82294,0.99961,1,0.995,0.88069,0.52542,0.38331,0.80103,0.0007922,0.0007922,0.0007922
63,2626.06,0.58393,0.38551,0.81659,0.99961,1,0.995,0.88163,0.52664,0.37218,0.80191,0.0007724,0.0007724,0.0007724
64,2665.04,0.56377,0.37801,0.83842,0.99962,1,0.995,0.87922,0.52364,0.36496,0.80055,0.0007526,0.0007526,0.0007526
65,2704.59,0.57708,0.38598,0.82853,0.9996,1,0.995,0.88807,0.51111,0.36394,0.79765,0.0007328,0.0007328,0.0007328
66,2744.25,0.57151,0.37166,0.82556,0.99953,1,0.995,0.88335,0.51511,0.36761,0.79679,0.000713,0.000713,0.000713
67,2796.34,0.59937,0.39187,0.83052,0.99951,1,0.995,0.88314,0.5217,0.36451,0.7972,0.0006932,0.0006932,0.0006932
68,2840.68,0.57468,0.39155,0.82675,0.99957,1,0.995,0.87552,0.53267,0.353,0.79887,0.0006734,0.0006734,0.0006734
69,2885.53,0.56612,0.38062,0.81677,0.99961,1,0.995,0.87825,0.53225,0.35181,0.79957,0.0006536,0.0006536,0.0006536
70,2930.74,0.54059,0.36959,0.81778,0.99965,1,0.995,0.87874,0.52631,0.352,0.79926,0.0006338,0.0006338,0.0006338
71,2979.09,0.53789,0.35979,0.8189,0.99966,1,0.995,0.87779,0.52095,0.34443,0.79757,0.000614,0.000614,0.000614
72,3024.7,0.5619,0.36556,0.82507,0.99962,1,0.995,0.88545,0.51777,0.35179,0.79546,0.0005942,0.0005942,0.0005942
73,3069.48,0.57085,0.3748,0.81592,0.99962,1,0.995,0.88988,0.51095,0.35186,0.79452,0.0005744,0.0005744,0.0005744
74,3115.6,0.58327,0.36661,0.82194,0.9996,1,0.995,0.8858,0.50283,0.33633,0.79507,0.0005546,0.0005546,0.0005546
75,3167.15,0.54132,0.36496,0.82054,0.99962,1,0.995,0.88714,0.50189,0.32638,0.79449,0.0005348,0.0005348,0.0005348
76,3217.72,0.53683,0.35022,0.81537,0.99963,1,0.995,0.88496,0.51279,0.32022,0.79521,0.000515,0.000515,0.000515
77,3264.69,0.56658,0.35593,0.81877,0.99964,1,0.995,0.88129,0.50464,0.32072,0.79445,0.0004952,0.0004952,0.0004952
78,3311.54,0.59009,0.35663,0.82436,0.99964,1,0.995,0.88667,0.50905,0.32794,0.79357,0.0004754,0.0004754,0.0004754
79,3358.48,0.55911,0.35384,0.82122,0.99963,1,0.995,0.88933,0.50188,0.32375,0.79286,0.0004556,0.0004556,0.0004556
80,3404.56,0.55565,0.34518,0.81271,0.99962,1,0.995,0.89095,0.49862,0.31478,0.79416,0.0004358,0.0004358,0.0004358
81,3454.33,0.54903,0.34024,0.82214,0.9996,1,0.995,0.887,0.50249,0.31601,0.79484,0.000416,0.000416,0.000416
82,3499.29,0.55466,0.35158,0.80911,0.99962,1,0.995,0.88591,0.50503,0.32176,0.7957,0.0003962,0.0003962,0.0003962
