accuracy,loss,val_accuracy,val_loss
0.834080696105957,0.4909013509750366,0.7877358198165894,0.9221628308296204
0.9917787909507751,0.026707587763667107,0.8694968819618225,0.3552069664001465
0.9977578520774841,0.012216592207551003,0.9811320900917053,0.1143290176987648
0.998131513595581,0.004021137487143278,0.954402506351471,0.17740899324417114
0.9962630867958069,0.009886453859508038,0.9150943160057068,0.2447768896818161
0.9955157041549683,0.012739050202071667,0.8899371027946472,0.4260239601135254
0.9970104694366455,0.00919617060571909,0.9606918096542358,0.17332781851291656
0.9988788962364197,0.004968415480107069,0.9701257944107056,0.17291299998760223
0.9943946003913879,0.019107870757579803,0.9889937043190002,0.1242082491517067
0.9966367483139038,0.013144112192094326,0.9669811129570007,0.11870895326137543
0.9958893656730652,0.019429247826337814,0.9575471878051758,0.19866538047790527
1.0,0.0001230506895808503,0.9669811129570007,0.13880926370620728
1.0,3.531540642143227e-05,0.9669811129570007,0.13702009618282318
1.0,2.6665269615477882e-05,0.9669811129570007,0.13749587535858154
1.0,2.3473394321626984e-05,0.9685534834861755,0.13830456137657166
1.0,1.7181115254061297e-05,0.9685534834861755,0.1380051225423813
1.0,1.5366802472271957e-05,0.9685534834861755,0.13832636177539825
