epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
73,44.9639,1.04858,1,1,0.68817,0.000147644,0.000147644,0.000147644
74,45.5625,1.05487,1,1,0.68817,0.000144534,0.000144534,0.000144534
75,46.1926,1.1921,1,1,0.64458,0.000141283,0.000141283,0.000141283
76,46.8979,0.93498,1,1,0.64458,0.000137891,0.000137891,0.000137891
77,47.5338,0.79804,1,1,0.64458,0.000134358,0.000134358,0.000134358
78,48.21,0.97094,1,1,0.60898,0.000130683,0.000130683,0.000130683
79,48.9342,0.83947,1,1,0.60898,0.000126866,0.000126866,0.000126866
80,49.5813,0.8934,1,1,0.60898,0.000122909,0.000122909,0.000122909
81,50.2663,1.02243,1,1,0.57683,0.00011881,0.00011881,0.00011881
82,50.8694,0.82682,1,1,0.57683,0.000114569,0.000114569,0.000114569
83,51.4748,1.0132,1,1,0.57683,0.000110187,0.000110187,0.000110187
84,52.1131,0.87206,1,1,0.5517,0.000105664,0.000105664,0.000105664
85,52.8035,0.69739,1,1,0.5517,0.000101,0.000101,0.000101
86,53.582,0.70417,1,1,0.5517,9.61937e-05,9.61937e-05,9.61937e-05
87,54.2292,0.75361,1,1,0.5517,9.12463e-05,9.12463e-05,9.12463e-05
88,54.858,0.96557,1,1,0.53632,8.61577e-05,8.61577e-05,8.61577e-05
89,55.5122,0.63149,1,1,0.53632,8.09276e-05,8.09276e-05,8.09276e-05
90,56.1017,0.74568,1,1,0.53632,7.55562e-05,7.55562e-05,7.55562e-05
91,56.7345,0.8654,1,1,0.53632,7.00434e-05,7.00434e-05,7.00434e-05
92,57.3687,0.86635,1,1,0.52743,6.43892e-05,6.43892e-05,6.43892e-05
93,57.9937,0.76882,1,1,0.52743,5.85937e-05,5.85937e-05,5.85937e-05
94,58.6054,0.90503,1,1,0.52743,5.26568e-05,5.26568e-05,5.26568e-05
95,59.2183,0.78205,1,1,0.52743,4.65785e-05,4.65785e-05,4.65785e-05
96,59.8495,0.92294,1,1,0.52246,4.03589e-05,4.03589e-05,4.03589e-05
97,60.4636,0.8613,1,1,0.52246,3.39978e-05,3.39978e-05,3.39978e-05
98,61.0685,0.85198,1,1,0.52246,2.74954e-05,2.74954e-05,2.74954e-05
99,61.6675,0.85872,1,1,0.52246,2.08517e-05,2.08517e-05,2.08517e-05
100,62.4096,0.77687,1,1,0.51242,1.40665e-05,1.40665e-05,1.40665e-05
